Date,Close,High,Low,Open,Volume,Return,Market_Return,Excess_Return,Corr_30,Beta_30,Sector_Return,Excess_Return_sector,Corr_30_sector,Beta_30_sector
2020-01-02,152.15841674804688,152.2626224460996,149.98906197669726,150.41535275784207,22622100,0.01851628848129261,,,,,0.01876299151761951,-0.0002467030363269007,,
2020-01-03,150.26373291015625,151.5236688959314,149.73323659087,149.97954877835332,21116200,-0.012452047532986343,-0.00757221859844015,-0.004879828934546193,,,-0.01124335233803997,-0.0012086951949463742,,
2020-01-06,150.65216064453125,150.718479922249,148.26491238072057,148.80489122518964,20813700,0.0025849732789964275,0.003814945645830514,-0.0012299723668340867,,,0.0023823902509383377,0.0002025830280580898,,
2020-01-07,149.27859497070312,151.2584890764839,149.0322971268804,150.92693595460105,21634100,-0.009117464150209531,-0.0028116702632323687,-0.006305793886977162,,,-0.00043193511444150623,-0.008685529035768025,,
2020-01-08,151.6562957763672,152.3288986289163,149.62903368740584,150.55740226330082,27746500,0.01592794202096215,0.005329622300374703,0.010598319720587446,,,0.01070050523603605,0.005227436784926098,,
2020-01-09,153.5509490966797,153.674105204978,152.5467931657798,153.31411932222434,21385000,0.012493073964475299,0.006780676324733781,0.005712397639741518,,,0.011335530942765182,0.0011575430217101168,,
2020-01-10,152.84042358398438,154.62138769177605,152.6888490950364,154.24246592434494,20725900,-0.004627294828688733,-0.002877926392250929,-0.0017493684364378037,,,-0.0023261273924456427,-0.00230116743624309,,
2020-01-13,154.67822265625,154.70664106571954,152.76463450731436,153.2382939383918,21626500,0.012024299783857773,0.006877348297682051,0.0051469514861757215,,,0.012506682402754876,-0.00048238261889710365,,
2020-01-14,153.58885192871094,154.98141217679571,153.2004476244277,154.78246880352256,23477400,-0.007042819013766577,-0.001524551700256449,-0.005518267313510128,,,-0.004710612255983904,-0.0023322067577826733,,
2020-01-15,154.5835418701172,155.3035137214435,154.00569102831227,154.0530454248941,21417900,0.006476316014575989,0.0022596555576257504,0.004216660456950239,,,0.0011568671466544167,0.005319448867921572,,
2020-01-16,157.416015625,157.48233490143087,155.38875329683958,155.6919023520506,23865400,0.01832325563650672,0.008318475771434741,0.010004779865071978,,,0.013446785097346314,0.004876470539160405,,
2020-01-17,158.2970428466797,158.64754632231816,156.71500707487465,158.60017747170502,34371700,0.0055968080387607255,0.003112512788494559,0.0024842952502661664,,,0.006737687098530287,-0.0011408790597695617,,
2020-01-21,157.7286376953125,159.32960936368943,157.66231841676765,157.89914820309696,29517200,-0.0035907502827940974,-0.001958245891636401,-0.0016325043911576964,,,-0.00041190286801007225,-0.003178847414784025,,
2020-01-22,156.97080993652344,158.66651963033502,156.95185950255714,158.58124990495958,24138800,-0.004804630090402329,0.00012102844017558567,-0.004925658530577914,,,0.0036054697755913967,-0.008410099865993725,,
2020-01-23,157.93702697753906,158.0128142331594,156.56341729990527,157.43494905712768,19680800,0.006155393104019469,0.0011467162595399927,0.005008676844479476,,,0.004721068542353324,0.0014343245616661449,,
2020-01-24,156.34555053710938,158.70438049049056,155.7866356921332,158.68543005957545,24918100,-0.010076651883893062,-0.008892960004369121,-0.0011836918795239404,,,-0.004698884785209634,-0.005377767098683428,,
2020-01-27,153.73095703125,154.77301392246096,151.76053138101526,152.66048172072817,32078100,-0.016723171825979044,-0.016029504539456063,-0.0006936672865229809,,,-0.023812040443828564,0.00708886861784952,,
2020-01-28,156.74343872070312,157.02762291226713,154.47934644660026,155.15193497322656,24899900,0.01959580391372162,0.010479147173477754,0.009116656740243867,,,0.01913579464882198,0.0004600092648996412,,
2020-01-29,159.18751525878906,159.8601182647004,156.96132376629157,158.9980543059086,34754500,0.015592847509495966,-0.0008259254399298754,0.01641877294942584,,,0.002579273096316115,0.013013574413179851,,
2020-01-30,163.67779541015625,164.88089473268496,161.7926251689453,164.88089473268496,51597500,0.028207489413145215,0.0032451532997694876,0.024962336113375727,,,0.008643708420302376,0.01956378099284284,,
2020-01-31,161.2621307373047,163.31781150569444,160.6463790875127,163.1378330139446,36142700,-0.014758658416666792,-0.018157858791045256,0.003399200374378464,,,-0.027443500266753684,0.012684841850086892,,
2020-02-03,165.19351196289062,165.30718563115278,161.4231714761802,161.45158989324574,30107000,0.024378824759485163,0.007428539960917968,0.016950284798567194,,,0.01321722025478711,0.011161604504698053,,
