Date,Close,High,Low,Open,Volume,Return,Market_Return,Excess_Return,Corr_30,Beta_30,Sector_Return,Excess_Return_sector,Corr_30_sector,Beta_30_sector
2020-01-02,28.68400001525879,28.71333312988281,28.11400032043457,28.299999237060547,142981500,0.0285181750157113,,,,,0.011880193802485506,0.016637981213225794,,
2020-01-03,29.53400039672852,30.26666641235352,29.12800025939941,29.36666679382324,266677500,0.02963325829792085,-0.00757221859844015,0.037205476896361,,,-0.008510157046379585,0.038143415344300435,,
2020-01-06,30.1026668548584,30.10400009155273,29.333332061767575,29.36466789245605,151995000,0.01925463704513497,0.003814945645830514,0.015439691399304456,,,0.002781534547658726,0.016473102497476244,,
2020-01-07,31.270666122436523,31.441999435424805,30.224000930786133,30.76000022888184,268231500,0.03880052465815398,-0.0028116702632323687,0.04161219492138635,,,-0.0015848394177278013,0.04038536407588178,,
2020-01-08,32.80933380126953,33.232666015625,31.215333938598636,31.57999992370605,467164500,0.04920482578812169,0.005329622300374703,0.04387520348774698,,,0.0030161532414196834,0.046188672546702,,
2020-01-09,32.089332580566406,33.25333404541016,31.524667739868164,33.13999938964844,426606000,-0.021945011900097344,0.006780676324733781,-0.028725688224831125,,,0.0053024563134194125,-0.027247468213516757,,
2020-01-10,31.87666702270508,32.3293342590332,31.57999992370605,32.11933135986328,194392500,-0.006627297633174156,-0.002877926392250929,-0.003749371240923227,,,-0.005431861436508978,-0.0011954361966651783,,
2020-01-13,34.990665435791016,35.04199981689453,32.79999923706055,32.900001525878906,397764000,0.0976889588509331,0.006877348297682051,0.09081161055325104,,,0.0031661730355141415,0.09452278581541895,,
2020-01-14,35.861331939697266,36.49399948120117,34.99333190917969,36.28400039672852,434943000,0.024882822120200876,-0.001524551700256449,0.026407373820457325,,,-0.00031578276959165485,0.02519860488979253,,
2020-01-15,34.56666564941406,35.85599899291992,34.452667236328125,35.31733322143555,260532000,-0.03610201351305786,0.0022596555576257504,-0.03836166907068361,,,-0.0022887061000635978,-0.033813307412994265,,
