Date,Close,High,Low,Open,Volume,Return,Market_Return,Excess_Return,Corr_30,Beta_30
2015-01-02,94.784423828125,95.94459334944423,94.32403709031588,95.5394577971342,31314600,,,,,
2015-01-05,93.39407348632812,94.48058669626502,93.12704827944285,94.37009132705352,36521300,-0.014668552971509707,-0.018059512731893435,0.003390959760383727,,
2015-01-06,92.1418228149414,93.68872289409232,91.72747746470012,93.53219305288523,66205500,-0.013408245562498533,-0.009418868416771309,-0.003989377145727224,,
2015-01-07,93.32958984375,93.55057348674632,92.52851447859116,92.74950514653084,37577400,0.012890639587129993,0.01246103369372209,0.0004296058934079028,,
2015-01-08,95.11591339111328,95.30006529668448,94.02019058561348,94.1214762411611,40212600,0.019139948545299434,0.017744923099671794,0.00139502544562764,,
2015-01-09,94.48976135253906,95.43815675542665,93.9372917363448,95.41053467960552,41410100,-0.006583041851256799,-0.008013235121799522,0.0014301932705427234,,
2015-01-12,93.50456237792967,94.7752274235804,93.26515927369574,94.67394176505624,34129800,-0.010426515640500345,-0.00783389317987615,-0.0025926224606241943,,
2015-01-13,93.4769287109375,95.4105588067012,92.7218946728103,94.41612167601326,56162300,-0.0002955328198904761,-0.002812630004457528,0.002517097184567052,,
2015-01-14,92.96131134033205,93.44011759537268,92.14182331434075,92.53775628391656,51354200,-0.005515985363617526,-0.006037036407261387,0.0005210510436438609,,
2015-01-15,91.75507354736328,93.5413692215426,91.64457820697274,93.39404912596562,51005400,-0.01297569683104749,-0.009160687754166896,-0.0038150090768805933,,
2015-01-16,92.83238220214844,92.95208022586452,91.48805376101762,91.63537386521094,35362200,0.011741134447775803,0.013114120211937585,-0.0013729857641617826,,
2015-01-20,93.5689926147461,93.80838863356608,92.344362343697,93.39404342604098,30964100,0.00793484337171968,0.0021328795632973296,0.00580196380842235,,
2015-01-21,94.04779052734376,94.48976483158371,92.961277680403,93.29275665234718,40128800,0.005117057469764985,0.005048032699539018,6.90247702259672e-05,,
2015-01-22,95.78807830810548,95.88936396802988,93.58742992419404,94.41612758496396,40887200,0.018504292030717462,0.014870782536136717,0.0036335094945807445,,
2015-01-23,95.99986267089844,96.29450995776224,95.50264405713853,95.7788719370415,34783000,0.002210967862950053,-0.005482683430955371,0.007693651293905424,,
2015-01-26,95.8893585205078,96.06430774588286,95.40134965492987,95.8893585205078,19960900,-0.0011510865465450548,0.00234169761916192,-0.0034927841657069747,,
2015-01-27,93.40326690673828,94.4345287398138,93.09020026102296,94.3792845773117,45253200,-0.025926668528477248,-0.013190411568924643,-0.012736256959552605,,
2015-01-28,92.92444610595705,95.005395873276,92.90603372967249,94.90411024135273,43591700,-0.00512638172773261,-0.01282418815141595,0.00769780642368334,,
2015-01-29,93.81761932373048,93.9925685515763,92.04052603675122,92.85080425661234,46539700,0.009611821810108001,0.009243312101910872,0.0003685097081971289,,
2015-01-30,93.0901870727539,94.45293476261187,92.96127936188208,93.73473265205642,42927600,-0.007753684821893314,-0.012574787001235044,0.00482110217934173,,
2015-02-02,93.9004898071289,93.98335605473235,91.84716169774744,93.30198559408448,43624700,0.008704491416927862,0.01238391376412884,-0.003679422347200978,,
2015-02-03,94.80284118652344,94.8672950522046,93.62425219981348,94.24116877489688,30750400,0.009609655724351907,0.014461163980372005,-0.004851508256020098,,
2015-02-04,94.71997833251952,95.34610463224394,94.2043403636646,94.416121372739,34073200,-0.00087405454274192,-0.003808156192891543,0.002934101650149623,,
2015-02-05,95.53945922851562,95.6039130917768,94.71997138493326,94.9593674342209,23605500,0.008651616168230847,0.01009536073190942,-0.0014437445636785728,,
2015-02-06,94.95938110351562,95.91698651334504,94.61869935935624,95.68679310785562,34169300,-0.006071607791002243,-0.00276545778217252,-0.0033061500088297224,,
2015-02-09,94.65550994873048,95.10668695546208,94.4253165947938,94.59105609062595,22604700,-0.0032000119551526263,-0.004475478465156946,0.0012754665100043194,,
