Date,Close,High,Low,Open,Volume,Return,Market_Return,Excess_Return,Corr_30,Beta_30
2015-01-02,0.4830114841461181,0.4866107006840829,0.4753331936701973,0.4830114841461181,113680000,,,,,
2015-01-05,0.4748532474040985,0.4844511092809616,0.4726937463591789,0.4830114228484823,197952000,-0.016890357703278958,-0.018059512731893435,0.001169155028614477,,
2015-01-06,0.4604564905166626,0.4760529693490393,0.4599766045810415,0.4755730834134183,197764000,-0.030318328801875793,-0.009418868416771309,-0.020899460385104485,,
2015-01-07,0.4592567980289459,0.4678948599747231,0.4578171115033826,0.4638157576868942,321808000,-0.002605441583352519,0.01246103369372209,-0.015066475277074609,,
2015-01-08,0.476532906293869,0.479412279423408,0.4642956563047343,0.4645356136001299,283780000,0.037617534109607664,0.017744923099671794,0.01987261100993587,,
2015-01-09,0.4784524142742157,0.4820516302003932,0.4717339255516812,0.4782124856150027,209540000,0.004028070160516872,-0.008013235121799522,0.012041305282316395,,
2015-01-12,0.4724538028240204,0.4798921352684591,0.4681347720047914,0.4796521779881352,190732000,-0.012537529901055833,-0.00783389317987615,-0.004703636721179683,,
2015-01-13,0.4717339873313904,0.4856508525212783,0.4683747568320872,0.4760530184046386,236720000,-0.0015235679940078795,-0.002812630004457528,0.0012890620104496486,,
2015-01-14,0.4736534357070923,0.4750931218886948,0.4654952902881295,0.4666950192382002,155260000,0.004068921102251322,-0.006037036407261387,0.010105957509512709,,
2015-01-15,0.4702942669391632,0.4798920997815794,0.4700543096765835,0.4770127556496141,188932000,-0.007092039273217443,-0.009160687754166896,0.002068648480949453,,
2015-01-16,0.4789323508739471,0.4794122368182891,0.4681347598053563,0.4695744462421816,181512000,0.018367402160786472,0.013114120211937585,0.005253281948848887,,
2015-01-20,0.4803720414638519,0.4849309722764145,0.4743733669944176,0.4822915852578152,140308000,0.003006041640907453,0.0021328795632973296,0.0008731620776101234,,
2015-01-21,0.4870905578136444,0.4882903157281686,0.4743734213992394,0.4777326806315405,144780000,0.013986068650704508,0.005048032699539018,0.00893803595116549,,
2015-01-22,0.4954886436462402,0.4969283301213147,0.4830114371390619,0.4880502825942222,159712000,0.01724132340050155,0.014870782536136717,0.002370540864364834,,
2015-01-23,0.4969283044338226,0.4978880762983924,0.4918894020315356,0.4959684753616553,120416000,0.0029055374044257842,-0.005482683430955371,0.008388220835381155,,
2015-01-26,0.4947686493396759,0.4971681069963004,0.4916493486653057,0.4947686493396758,133240000,-0.004346009424050168,0.00234169761916192,-0.006687707043212088,,
2015-01-27,0.4710141122341156,0.487570391123765,0.4700543117832934,0.4870904765964548,357948000,-0.04801140318260544,-0.013190411568924643,-0.034820991613680796,,
