Date,Close,High,Low,Open,Volume
,SPY,SPY,SPY,SPY,SPY
2015-01-02,170.58958435058594,171.79367814662248,169.55158119602822,171.37847688479937,121465900
2015-01-05,167.50881958007812,169.709381481765,167.20157466159998,169.5433034899103,169632600
2015-01-06,165.9310760498047,168.33923884704024,165.13388387080252,167.8160810836032,209151400
2015-01-07,167.99874877929688,168.33921688794462,166.81127913768793,167.2596909686122,125346700
2015-01-08,170.97987365722656,171.19578642164635,169.39381447525952,169.41041340257112,147217800
2015-01-09,169.60977172851562,171.4117442821808,168.9952690955981,171.39513267833408,158567300
2015-01-12,168.28106689453125,169.90036195764486,167.67487659816504,169.74258345029023,144396100
2015-01-13,167.80775451660156,170.63111821399596,166.50401638682845,169.50177020085064,214553300
2015-01-14,166.79469299316406,166.99399421006802,164.89307631509837,165.78990011381592,192991100
2015-01-15,165.26673889160156,167.74963470481038,165.1504830274808,167.43409031416195,176613900
2015-01-16,167.43406677246094,167.59184528107048,164.87642545047697,165.0591150213999,211879600
2015-01-20,167.7911834716797,168.33925234676153,166.2217227264478,168.07351737547063,130991100
2015-01-21,168.63819885253906,169.11983398765003,166.8611374020666,167.3261609336383,122942700
2015-01-22,171.14598083496094,171.27883562097546,168.01535948680703,169.39383084307977,174356000
2015-01-23,170.2076416015625,171.14600070268122,170.07477412918576,170.88856522334896,117516800
2015-01-26,170.60621643066406,170.6975612260688,169.2775798358859,169.99172659879434,92009700
2015-01-27,168.35585021972656,169.50179734487202,167.52544750857834,168.5468392954275,134044600
2015-01-28,166.1968231201172,169.6429898217608,166.0058340156665,169.5433455361242,168514300
2015-01-29,167.7330322265625,167.9904550151743,164.98438887060598,166.396083481987,173585400
2015-01-30,165.6238250732422,167.88252155491546,165.35810278354316,166.55388476453962,197729700
2015-02-02,167.67489624023438,167.7662410356698,164.30346361569946,166.12204738877088,163107000
2015-02-03,170.09967041015625,170.10798254579447,168.19805397695674,168.57173262346143,124212900
2015-02-04,169.451904296875,170.54804149892738,168.9951804626865,169.3356484728029,134306700
2015-02-05,171.16258239746094,171.3120614565671,170.04154647338692,170.11627966747085,97953200
2015-02-06,170.68923950195312,172.09262177973125,170.16608186277418,171.52794148061264,125672000
2015-02-09,169.92532348632812,170.76402572548312,169.5184215660371,170.04157936770545,87219000
2015-02-10,171.735595703125,171.99301853577376,169.96683373939678,170.96332720517879,96164200
2015-02-11,171.83526611328125,172.2670791693923,170.92183052532414,171.5695437740194,91087800
2015-02-12,173.48770141601562,173.54583567729958,171.86841895725738,172.63238779239109,97545900
2015-02-13,174.201904296875,174.25172643921942,173.35488986419506,173.61232538454388,93670400
2015-02-17,174.4759063720703,174.65029650885467,173.63720423271897,173.886314898212,76968200
2015-02-18,174.49249267578125,174.56722586459446,173.8364675625878,174.1022024618402,80652900
2015-02-19,174.36793518066406,174.73331435364972,173.7534453633138,173.89461228543314,91462500
2015-02-20,175.41429138183594,175.4890245925324,173.3299722521773,173.95277434986343,140896400
2015-02-23,175.38934326171875,175.38934326171875,174.78314022494982,175.16513100605164,74411100
2015-02-24,175.88758850097656,176.08688970444283,175.01566315835314,175.3146086280829,72472300
2015-02-25,175.73809814453125,176.24464421388257,175.39763005329206,175.7630092077012,73061700
2015-02-26,175.5304718017578,175.80450612743863,174.92426889755367,175.64672763650702,72697900
2015-02-27,174.9326629638672,175.6966320458844,174.8828408214876,175.43089705860453,108076000
2015-03-02,176.0370635986328,176.0951851956618,174.9824486776999,175.03227080970728,87491400
2015-03-03,175.31455993652344,176.08684079839142,174.45094696990645,175.60520586032084,110325800
2015-03-04,174.5755615234375,174.79147434157974,173.60399185461756,174.71672846633203,114497200
2015-03-05,174.76658630371094,175.04892022670512,174.26004006730764,174.8994411274518,76873000
2015-03-06,172.30857849121094,174.33476332106056,171.97642244442355,173.90295032348416,188128000
2015-03-09,173.02268981933594,173.37975686266645,172.35006572678242,172.50784425139392,89818900
2015-03-10,170.2159423828125,171.73558084865232,170.17441971350635,171.65254818097966,157121300
2015-03-11,169.81736755371094,170.6477703290347,169.73432220780225,170.47338017100276,110145700
2015-03-12,171.97640991210938,172.0428309798738,170.39863712749272,170.44845926378608,93993500
2015-03-13,170.9217987060547,172.66563686984932,169.88379527369824,171.70237931453718,162410900
2015-03-16,173.2053985595703,173.29674336439572,170.94670217746943,171.65254954847836,136099200
2015-03-17,172.6905517578125,173.07252990561386,171.87674798548153,172.46633948005277,94510400
2015-03-18,174.76658630371094,175.4392105729966,171.57782978603782,172.21724351712368,228808500
2015-03-19,173.96934509277344,174.77483663026706,173.57905485621723,174.35133586484864,117917300
