Date,Close,High,Low,Open,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT
2015-01-02,39.76768493652344,40.32899090171103,39.58058511096881,39.68263985620423,27913900
2015-01-05,39.40198516845703,39.74216870526906,39.33394651453768,39.436001251155126,39673900
2015-01-06,38.82366943359375,39.75917821145271,38.73011790695554,39.44450754897456,36447900
2015-01-07,39.31693649291992,39.51254275476391,38.687595171206475,39.10432056775103,29114100
2015-01-08,40.47357940673828,40.6096535086197,39.73367668052447,39.7591895607952,29645200
2015-01-09,40.13338088989258,40.66917393001776,39.88674888219443,40.49057733139655,23944200
2015-01-12,39.631622314453125,40.43106057523257,39.42751276499742,40.329002556241925,23651900
2015-01-13,39.42749786376953,40.74571595702822,39.17235940124552,39.9462812426499,35270600
2015-01-14,39.087310791015625,39.32544283261171,38.79815300385445,39.087310791015625,29719600
2015-01-15,38.679107666015625,39.44452666930123,38.61957543734487,39.30845254030192,32750800
2015-01-16,39.3254508972168,39.35946698648214,38.41545156879696,38.53451923614339,35695300
2015-01-20,39.45301818847656,39.6741406102206,38.75563807853709,39.37647631083627,36161900
2015-01-21,39.05329895019531,39.24040203782866,38.6790960191908,39.07030861673127,39081100
2015-01-22,40.08235549926758,40.090858708879445,39.18936925398838,39.44450771774507,35898000
2015-01-23,40.124881744384766,40.303478361095046,39.8017045968172,40.27796548563983,26211600
2015-01-26,39.98030471801758,40.08236271730814,39.32545039934502,39.97180150687445,42525500
2015-01-27,36.28078842163086,36.740039688246206,35.813033943824344,36.52742372158305,169164000
2015-01-28,35.03061294555664,36.39135736799653,35.00510006229797,36.34883481447778,84507100
2015-01-29,35.72799301147461,35.82154457526708,34.69042908533057,34.809493532243586,63585300
2015-01-30,34.358734130859375,35.362281537507286,34.31620835125073,35.336765420889805,78004900
2015-02-02,35.107139587402344,35.18368144818784,34.214153374412476,34.52032081755448,50352500
2015-02-03,35.37928771972656,35.65994229081227,34.91153334551186,35.40480383617347,52082400
2015-02-04,35.58341598510742,35.89808677524332,35.17519363038069,35.66846109241025,41614800
2015-02-05,36.10219192504883,36.2637788923907,35.600418112052054,35.90658562428903,36548200
2015-02-06,36.06816482543945,36.39134193479895,35.84704569435864,36.297790410174244,34616600
2015-02-09,36.02565383911133,36.348831052075454,35.89808294749686,35.92359907237728,31381100
2015-02-10,36.22975540161133,36.37433592991583,35.87256217449755,36.34882305491108,29670700
2015-02-11,36.04266357421875,36.272289232991625,35.89808301383766,36.272289232991625,38262500
2015-02-12,36.6464729309082,36.6464729309082,36.15320253577347,36.280773360518204,33268800
2015-02-13,37.30984878540039,37.30984878540039,36.69751700974504,36.89312330904932,40264900
2015-02-17,37.326988220214844,37.686723558581946,36.992944062279896,37.66102911079885,33695700
2015-02-18,37.284149169921875,37.42975862305899,37.16423742460308,37.369802750399586,27111700
2015-02-19,37.258460998535156,37.284155443326796,36.87302798990778,36.98437602958915,27603400
2015-02-20,37.566802978515625,37.58393369547487,37.07858898090292,37.2670203327542,29721100
2015-02-23,37.81520080566406,37.849458978874935,37.386942600695505,37.4297677677222,32518800
2015-02-24,37.7637939453125,37.94366153722187,37.618184513279054,37.81518608615069,25271700
2015-02-25,37.67814254760742,37.76379284582785,37.515402406699394,37.64388112137947,29759800
2015-02-26,37.73809814453125,37.88370430395225,37.59248871776083,37.67814228272855,28957300
2015-02-27,37.5582275390625,37.8580101173992,37.395490665576474,37.798054255201755,33807700
2015-03-02,37.58393096923828,37.8494488944711,37.3012790609389,37.40406008788871,31924000
2015-03-03,37.07002639770508,37.54111300173783,36.907289468262306,37.30985319630827,31748600
2015-03-04,36.881595611572266,37.010071105070374,36.727422405494046,36.83876717972228,25748700
2015-03-05,36.92441940307617,37.03576744051466,36.67602888392511,36.89015796581041,23193500
2015-03-06,36.282039642333984,36.92442702051312,36.1021719606081,36.83020968227066,36248800
2015-03-09,36.701725006103516,36.941551810577614,36.13642433477633,36.13642433477633,32108000
2015-03-10,35.99937438964844,36.58180565974298,35.99937438964844,36.27345930882823,39159700
2015-03-11,35.956546783447266,36.29058755172553,35.83663504789607,36.23919867497487,32215300
2015-03-12,35.13430404663086,35.67391030771937,34.997261549710856,35.39982531387936,59992500
2015-03-13,35.44263458251953,35.51972115666661,34.78311684089436,34.86020341504144,58007700
2015-03-16,35.59682846069336,35.66534808464364,35.35700160848916,35.51974184165474,35273500
2015-03-17,35.71672058105469,35.82806858441581,35.24563739854925,35.43406871114173,31673400
2015-03-18,36.401947021484375,36.684599001979564,35.399824401221295,35.48547473433153,44194800
2015-03-19,36.22207260131836,36.47902682004379,36.16211672586076,36.1963748923007,33879100
2015-03-20,36.72742462158203,36.8130749557488,36.39338374404048,36.45333963142738,71904500
2015-03-23,36.71027755737305,36.9415372774844,36.64175470666627,36.72740827004974,26246100
2015-03-24,36.74454879760742,36.97580531214062,36.61607005188877,36.641764494092406,25513300
2015-03-25,35.51115798950195,36.77023774700006,35.494027274808474,36.76167075597844,43469900
2015-03-26,35.297027587890625,35.639635333773,35.04863713549338,35.30559457857997,37495600
2015-03-27,35.091487884521484,35.48548475585929,34.9715760773623,35.21996342046989,34401400
2015-03-30,35.08290481567383,35.57968580899963,35.04007965664407,35.202816567897244,35049700
2015-03-31,34.82595443725586,35.14286456986798,34.7231733907723,34.928735483739416,34887200
2015-04-01,34.87733459472656,34.911592753534286,34.52616314498926,34.77455031625508,36865300
2015-04-02,34.5090446472168,34.894477659544535,34.36343516818161,34.8259547829749,37487500
2015-04-06,35.5882682800293,35.785266729215536,34.41484131428869,34.55188385578137,39223700
2015-04-07,35.57111358642578,35.896590628424356,35.382682260931624,35.63963644467799,28809400
2015-04-08,35.47690200805664,35.70816179090699,35.151428180948955,35.5111634427049,24753400
2015-04-09,35.528289794921875,35.64820153410782,35.33129147092355,35.33129147092355,25723900
2015-04-10,35.733863830566406,35.93086220263949,35.468342580893655,35.656777226942104,28022000
2015-04-13,35.76811599731445,36.025073477824904,35.45120590999501,35.45977290193208,30276700
2015-04-14,35.67390823364258,35.99938210281029,35.45121214700082,35.80238372915068,24244400
2015-04-15,36.196388244628906,36.367692209420824,35.69961034081885,35.7681299663248,27343600
2015-04-16,36.11072540283203,36.26489859107097,35.819509743641845,35.93085777233669,22509700
2015-04-17,35.648197174072266,35.75098145281739,35.254200574264296,35.69102232320802,42387600
2015-04-20,36.753108978271484,36.97580174637817,35.69959447396504,35.74241962929134,46057700
2015-04-21,36.5218505859375,36.95867568172866,36.42763328028254,36.830196943590074,26013800
2015-04-22,36.82164764404297,36.94155943736113,36.44477827378437,36.547559344149754,25064300
2015-04-23,37.12141036987305,37.352670124312624,36.658890860993885,36.73597744580708,46309500
2015-04-24,41.001441955566406,41.23270179145497,39.099977639400954,39.108541366351936,130933700
2015-04-27,41.13848114013672,41.224134739493,40.44470495577985,40.45326868204011,59248200
2015-04-28,42.10633087158203,42.149156022630294,40.85581816381504,40.92433775202234,60730800
2015-04-29,42.02068328857422,42.23481232502106,41.54103307068736,41.72946766831252,47804600
2015-04-30,41.660953521728516,42.43181952110403,41.626692084567274,41.71234567747038,64725500
2015-05-01,41.678070068359375,41.866504641321605,41.45537733723531,41.609550484686345,38937300
2015-05-04,41.3183479309082,41.8579508497833,41.266955776436596,41.42969269790442,34039500
2015-05-05,40.770164489746094,41.24981467536472,40.52177730736373,40.958599074694405,50369200
2015-05-06,39.639564514160156,40.91577495533703,39.4168717632563,40.744471079915016,52433000
2015-05-07,39.99931716918945,40.33335804772233,39.53679752167432,39.63101484994787,32971700
2015-05-08,40.898651123046875,41.095649469358584,40.701652776735166,40.72734721879967,35364900
2015-05-11,40.57316970825195,41.03568922022845,40.57316970825195,40.72734287891078,24609400
2015-05-12,40.55604934692383,40.83870132107635,39.75948885094034,40.12779115628113,29928300
2015-05-13,40.79587173461914,41.386866797416374,40.7444795810649,41.275518765057356,34184600
2015-05-14,41.72946548461914,41.815115787775895,41.13846728384878,41.13846728384878,32980900
2015-05-15,41.36974334716797,41.89221889769544,41.15561423743382,41.85795745597376,28642700
2015-05-18,41.12134552001953,41.30121642355795,40.77874096547324,41.095651076949906,24136500
2015-05-19,41.01790237426758,41.21618102930156,40.67306792898283,41.00066032314484,28574800
2015-05-20,41.01790237426758,41.31963004745299,40.75065551474265,40.85410453289408,25047900
2015-05-21,40.87995910644531,41.03513425192966,40.52650533919417,40.75926805742069,22410700
2015-05-22,40.43167495727539,40.819609493547304,40.3627067712636,40.776506021581994,25720600
2015-05-26,40.164424896240234,40.41442961728319,39.819590571451066,40.371326148830505,29581900
2015-05-27,41.04375457763672,41.181687667018245,40.19029132618688,40.362708510059846,27335600
2015-05-28,40.90582275390625,41.39720960556824,40.85409661056865,40.948926229062074,19283700
2015-05-29,40.39720153808594,41.00927955203633,40.16443878167135,40.88858848321062,36519600
2015-06-01,40.71617126464844,41.181696777516926,40.19030021736199,40.569618763514825,28837300
2015-06-02,40.448917388916016,40.81961320093707,40.19029324505082,40.45754005724269,21498300
2015-06-03,40.38856506347656,41.15582127470728,40.36270364002047,40.83684837202409,28002200
2015-06-04,39.966163635253906,40.65582929520864,39.82823050326296,40.336859544089315,27745500
2015-06-05,39.776493072509766,40.104085401364955,39.51786893439644,39.92304883354406,25438100
2015-06-08,39.42302703857422,40.0264853652881,39.37130091162732,39.914413734528154,22121600
2015-06-09,39.35407638549805,39.60407786799899,39.19027856857369,39.44890271964144,24406100
2015-06-10,40.18167495727539,40.371334202603386,39.3885571674729,39.474767410160396,28417400
2015-06-11,40.03512954711914,40.44892895332621,39.767885947106336,40.22478884151689,27347800
2015-06-12,39.629947662353516,40.06098906555132,39.569602128992614,39.84546836395242,23931000
2015-06-15,39.20752716064453,39.354082953479136,38.810969843585106,39.181665727796975,33254500
2015-06-16,39.509246826171875,39.8627005578521,39.0523408155237,39.09544428746829,27070300
2015-06-17,39.629947662353516,39.716154627559106,39.104076624278605,39.4230463418412,28704100
2015-06-18,40.27650451660156,40.34546942205861,39.8023564040272,39.84546316959541,32658300
2015-06-19,39.742000579833984,40.37132367733521,39.647174270476796,40.33683958925061,63837000
2015-06-22,39.85408020019531,40.276502142337115,39.79373467825853,39.940290437665226,20318100
2015-06-23,39.57821273803711,39.897182384903864,39.328207990332594,39.7678719657556,25896500
2015-06-24,39.345455169677734,39.8713261597967,39.267867592634204,39.37131659916403,34890900
2015-06-25,39.35407638549805,39.70753015929369,39.224762665671925,39.68166544217777,20616000
2015-06-26,39.017860412597656,39.89718513548157,38.81958179203331,39.354075418164435,49835300
2015-06-29,38.25059509277344,38.99198648150427,38.24197571576689,38.82819200971297,34081700
2015-06-30,38.06094741821289,38.55233422825378,37.87990757615776,38.54371156080235,35945400
2015-07-01,38.319576263427734,38.99199970989857,38.0178453484998,38.328195643358484,28343900
2015-07-02,38.27646255493164,38.57819010062037,37.983354386869614,38.34542744169609,21752000
2015-07-06,38.26784896850586,38.34543653988976,37.88853377984253,37.89715315951435,23034000
2015-07-07,38.19025802612305,38.35405582268887,37.34541748372914,38.22474211893523,36435800
2015-07-08,38.13853454589844,38.70750891357045,37.95749470591513,38.31094842994496,39785900
2015-07-09,38.37991714477539,38.98337561302908,38.36267509841568,38.57819574503599,32424700
2015-07-10,38.45750045776367,38.91440312574288,38.42301636885633,38.802331481085886,25465800
2015-07-13,39.259246826171875,39.328211731895216,38.75061790319727,38.77647933177047,28178300
2015-07-14,39.32820510864258,39.62131330791964,39.06096162216734,39.18165265329603,22880300
2015-07-15,39.44889831542969,39.56096997419463,39.164412767591465,39.3799334175172,26629600
2015-07-16,40.22478485107422,40.25064628371369,39.629948880271165,39.66442969426212,26271700
